Open,High,Low,Close,TickVolume
1.216,1.21721,1.21343,1.21463,14948
1.21466,1.2194,1.21452,1.21796,15521
1.21795,1.22079,1.2157,1.21785,22000
1.21785,1.22055,1.21668,1.21746,25294
1.21745,1.21799,1.21001,1.21427,37888
1.21427,1.21553,1.21378,1.21462,14101
1.21412,1.21601,1.21338,1.21585,7278
1.21584,1.21675,1.2144,1.21554,12248
1.21554,1.21758,1.21286,1.21648,17515
1.21649,1.22164,1.20647,1.21129,33684
1.21127,1.21615,1.209,1.21459,33415
1.21455,1.21758,1.21444,1.21586,11617
1.2155,1.21629,1.21341,1.21381,8033
1.21381,1.21468,1.21299,1.21404,12397
1.21404,1.2169,1.21356,1.21446,16016
1.21446,1.21488,1.2025,1.20274,24975
1.20273,1.20842,1.20034,1.20775,38370
1.20773,1.20942,1.20606,1.2073,10525
1.20659,1.20679,1.2047,1.2056,4940
1.20559,1.20799,1.20547,1.20763,9149
1.20763,1.2123,1.20688,1.20855,17843
1.20855,1.2122,1.20715,1.21208,18930
1.2121,1.2138,1.2076,1.20771,21526
1.20772,1.20934,1.20686,1.20806,12590
1.2077,1.20884,1.20745,1.20778,11441
1.20779,1.20855,1.20699,1.20845,9495
1.20848,1.21222,1.20653,1.21183,13789
1.21191,1.21304,1.20948,1.21073,18927
1.21073,1.21289,1.20762,1.20829,24178
1.20829,1.20865,1.2063,1.20769,9692
1.20736,1.20882,1.20644,1.20684,7828
1.20683,1.20843,1.20659,1.20835,8722
1.20835,1.21058,1.20674,1.20951,16510
1.20953,1.22509,1.2081,1.22188,25158
1.22189,1.22771,1.21911,1.2248,40182
1.2248,1.22614,1.221,1.22141,17310
1.22114,1.22226,1.22045,1.2209,11148
1.2209,1.22096,1.2182,1.21904,11799
1.21904,1.22456,1.21833,1.22419,19667
1.22422,1.22445,1.21942,1.22353,27245
1.22353,1.22494,1.21966,1.22239,34657
1.22243,1.22269,1.21854,1.22026,15708
1.21964,1.22028,1.2177,1.21841,6628
1.21841,1.2197,1.21782,1.21896,10570
1.21893,1.22169,1.21677,1.21785,19325
1.21785,1.21789,1.21084,1.21106,25235
1.21113,1.21444,1.20999,1.21289,32638
1.21287,1.21465,1.21284,1.21354,9641
1.21089,1.21482,1.21089,1.21421,5726
1.21421,1.21448,1.21078,1.21151,10880
1.21151,1.21216,1.20688,1.20746,17841
1.20746,1.21147,1.20504,1.20892,24572
1.20893,1.21094,1.20686,1.20846,21195
1.20846,1.20862,1.20497,1.20535,9093
1.20522,1.2059,1.20376,1.20395,12274
1.20397,1.20605,1.20349,1.20519,9369
1.20517,1.20585,1.20078,1.20368,18660
1.20372,1.20575,1.2013,1.20551,23726
1.2055,1.21178,1.20488,1.20813,25939
1.20813,1.21047,1.20793,1.20958,10331
1.20937,1.21084,1.20833,1.21075,12389
1.21072,1.21228,1.20978,1.21192,13896
1.2119,1.21432,1.20775,1.21034,20670
1.21034,1.21146,1.20475,1.20627,23524
1.20627,1.20956,1.2028,1.20395,26226
1.20401,1.2088,1.20355,1.2047,19982
1.2044,1.20605,1.20416,1.20507,11899
1.20506,1.20592,1.20299,1.20399,14774
1.204,1.20583,1.19944,1.20478,27110
1.20478,1.20798,1.20354,1.2049,26424
1.20492,1.20534,1.19358,1.1937,30609
1.1937,1.19436,1.19224,1.19295,16058
1.19277,1.19368,1.19049,1.19055,14161
1.19055,1.19258,1.18939,1.19022,14043
1.19022,1.1926,1.18798,1.18956,26899
1.18956,1.18965,1.18156,1.18476,27041
1.18473,1.18577,1.1792,1.18255,28909
1.18256,1.18345,1.18106,1.18253,12217
1.18104,1.18336,1.18051,1.18069,6874
1.18068,1.18366,1.18057,1.18305,14689
1.18303,1.18364,1.17822,1.18126,27460
1.18124,1.18228,1.17894,1.18184,24804
1.18184,1.18271,1.17421,1.17752,28737
1.17751,1.1776,1.17517,1.17657,10113
1.17637,1.17821,1.17571,1.17743,8326
1.17742,1.17848,1.17634,1.17642,12639
1.17633,1.17792,1.17174,1.17777,32521
1.17777,1.1783,1.1746,1.17648,24633
1.17648,1.18779,1.17571,1.18487,39139
1.18487,1.18504,1.18167,1.18334,12565
1.18289,1.18382,1.18127,1.1813,8895
1.18131,1.18279,1.17986,1.18249,14220
1.18246,1.18338,1.18008,1.18226,19559
1.18225,1.18264,1.17582,1.17724,28712
1.17725,1.18258,1.17559,1.17853,35714
1.17853,1.1802,1.1781,1.17964,11926
1.1793,1.1815,1.17832,1.18117,9856
1.18122,1.18425,1.18036,1.18348,14514
1.18349,1.18646,1.18252,1.1844,25018
1.1844,1.18572,1.18091,1.18204,25709
1.18204,1.18502,1.1793,1.18209,31379
1.1821,1.18391,1.18176,1.18329,13701
1.18316,1.18382,1.18055,1.1814,8281
1.1814,1.18313,1.18079,1.18088,11765
1.18089,1.18103,1.17754,1.18013,25160
1.18013,1.18544,1.18011,1.18536,25714
1.18535,1.19012,1.17456,1.17535,53216
1.17535,1.17578,1.17331,1.1738,12871
1.17294,1.17342,1.16749,1.16782,10430
1.16782,1.16857,1.1652,1.16543,14865
1.16544,1.16829,1.16485,1.16585,32008
1.16585,1.17345,1.16568,1.1717,30184
1.1717,1.17443,1.16862,1.17226,33624
1.17228,1.17293,1.16982,1.1709,11647
1.1709,1.17252,1.1701,1.17162,14772
1.17164,1.17265,1.16867,1.17053,13405
1.1705,1.17528,1.16983,1.17383,31052
1.17383,1.17607,1.16881,1.16986,30349
1.16984,1.1722,1.16215,1.16511,43273
1.16511,1.16699,1.16466,1.16543,14268
