Open,Close
1.21725,1.21536
1.21536,1.21191
1.21191,1.21013
1.21012,1.20072
1.20072,1.20456
1.20453,1.20932
1.2097,1.21056
1.21056,1.20927
1.20927,1.21222
1.21222,1.21533
1.21533,1.21113
1.21109,1.2104
1.21064,1.21103
1.21104,1.21127
1.21123,1.20439
1.20439,1.19695
1.19696,1.19241
1.19242,1.19561
1.19541,1.19643
1.19643,1.1935
1.1935,1.196
1.19601,1.18973
1.18971,1.19096
1.19096,1.19226
1.19192,1.19251
1.19254,1.19475
1.19477,1.19693
1.19694,1.1964
1.19639,1.20081
1.20087,1.20208
1.20194,1.20495
1.20495,1.20142
1.20143,1.19349
1.19349,1.19867
1.19868,1.20192
1.20192,1.20333
1.19989,1.20081
1.20083,1.19877
1.19877,1.19665
1.19664,1.19231
1.19231,1.18831
1.18828,1.18912
1.18906,1.18922
1.18923,1.18642
1.18644,1.183
1.18299,1.18591
1.18587,1.19105
1.19104,1.18861
1.18832,1.18789
1.18789,1.19012
1.19012,1.18905
1.18904,1.18556
1.18557,1.19213
1.19214,1.18892
1.18863,1.18573
1.18574,1.18604
1.18604,1.18422
1.18422,1.18114
1.18118,1.17794
1.17795,1.18239
1.1821,1.18266
1.18266,1.1831
1.1831,1.18274
1.18273,1.1847
1.18472,1.18553
1.18555,1.18632
1.18656,1.18827
1.18828,1.1886
1.1886,1.1946
1.19459,1.19793
1.19793,1.19765
1.19765,1.19513
1.19489,1.19347
1.19346,1.19456
1.19457,1.20212
1.20212,1.20116
1.2011,1.20076
1.20078,1.19929
1.19931,1.20154
1.20155,1.20293
1.20293,1.20046
1.20047,1.19836
1.19831,1.19719
1.19716,1.19743
1.19706,1.19666
1.19666,1.19984
1.19984,1.19392
1.19392,1.19851
1.19844,1.19512
1.19513,1.19938
1.19902,1.19863
1.19863,1.19563
1.19563,1.19555
1.19555,1.19587
1.19586,1.20221
1.20222,1.20048
1.19799,1.19626
1.19626,1.19823
1.19823,1.20275
1.20274,1.20703
1.20704,1.20511
1.20511,1.20428
1.20398,1.20596
1.20591,1.20627
1.20628,1.20339
1.20339,1.20028
1.20027,1.2025
1.2025,1.20284
1.20256,1.2044
1.20439,1.2059
1.2059,1.20599
1.20598,1.20471
1.20473,1.20386
1.20385,1.21558
1.21529,1.21481
1.21483,1.21593
1.21593,1.2187
1.21871,1.21394
1.21394,1.21303
1.21304,1.21781
1.21768,1.21737
1.21737,1.21878
1.21878,1.21698
1.21694,1.21152
1.21154,1.21687
1.21687,1.21822
1.21574,1.21726
1.21726,1.21829
1.21828,1.22305
1.22305,1.22477
